model,true_0_pred_0,true_0_pred_1,true_0_pred_2,true_1_pred_0,true_1_pred_1,true_1_pred_2,true_2_pred_0,true_2_pred_1,true_2_pred_2
Bert,86,52,30,30,386,157,14,104,375
Bert2Faster,85,62,21,33,422,118,19,141,333
Bert2Res,75,58,35,16,385,172,11,87,395
Bert2Vit,93,50,25,35,404,134,22,124,347
Faster22Bert,100,44,24,32,385,156,22,107,364
Faster2Bert,25,92,51,20,301,252,13,209,271
FasterBert,82,55,31,40,398,135,17,134,342
FasterBertAtt,96,50,22,29,414,130,17,133,343
FasterBertTFN,86,54,28,35,394,144,22,117,354
FasterRCNN,31,51,86,17,316,240,21,139,333
Res22Bert,88,52,28,30,417,126,15,148,330
Res2Bert,87,50,31,31,372,170,17,90,386
ResBert,89,56,23,37,409,127,22,129,342
ResBertAtt,88,55,25,37,384,152,15,125,353
ResBertTFN,89,47,32,37,404,132,22,130,341
ResNet,47,46,75,15,345,213,17,151,325
Vit,50,39,79,17,336,220,19,131,343
Vit22Bert,95,52,21,24,416,133,12,139,342
Vit2Bert,86,58,24,33,389,151,13,122,358
VitBert,109,35,24,48,367,158,18,111,364
VitBertAtt,96,40,32,44,377,152,19,108,366
VitBertTFN,74,64,30,32,410,131,18,142,333
