dataset,model,seed,accuracy,f1,precision,recall,eval_loss,global_step
Twitter15,Bert,0,0.7753134040501446,0.7318949007879856,0.7375421771987819,0.7268985159767108,0.7727208105417398,800.0
Twitter15,Bert,42,0.7801350048216008,0.7330305253047609,0.7396604734083895,0.7269635320327331,0.72465517108257,800.0
Twitter15,Bert,199,0.7656702025072324,0.7141442498765366,0.7396439892987484,0.6968441120556709,0.7829976261808322,800.0
Twitter15,Bert,2022,0.7463837994214079,0.6726720496275748,0.747643625964309,0.6367888071693838,0.5923326918712029,800.0
Twitter15,Bert,11122,0.7685631629701061,0.7077792106277863,0.7372059656319448,0.6876039676258979,0.6932262954803613,800.0
Twitter15,Bert2Faster,0,0.7714561234329798,0.7104072398190046,0.7469053453387948,0.6872954134736785,0.7549627077121001,800.0
Twitter15,Bert2Faster,42,0.7762777242044359,0.7159499850784409,0.7418337691903147,0.6978033173396287,0.8527644482369606,800.0
Twitter15,Bert2Faster,199,0.7743490838958534,0.719365309197389,0.7462214564188248,0.7001104751720146,0.9027737165872868,800.0
Twitter15,Bert2Faster,2022,0.7675988428158148,0.7177330106791443,0.7394710092110247,0.7010678408127936,0.8205521237391692,800.0
Twitter15,Bert2Faster,11122,0.7782063645130183,0.7211206680767627,0.7663937952627932,0.6925930799276977,0.8386125890108255,800.0
Twitter15,Bert2Res,0,0.7685631629701061,0.7070098687399436,0.7376984248743322,0.6860391671377303,0.6019440994812892,800.0
Twitter15,Bert2Res,42,0.7560270009643202,0.6963582718387534,0.7225422755851647,0.6801315056662313,0.7901324088756855,800.0
Twitter15,Bert2Res,199,0.7907425265188043,0.7478750442007209,0.7774798213987056,0.7263621066863962,0.8494128858240751,800.0
Twitter15,Bert2Res,2022,0.7820636451301832,0.7232125136213116,0.7593320699851658,0.6988086823370233,0.8258311339295827,800.0
Twitter15,Bert2Res,11122,0.7589199614271939,0.6994498668705919,0.7491465649360386,0.6694954093314153,0.582646007491992,800.0
Twitter15,Bert2Vit,0,0.7704918032786885,0.7217627951465677,0.7393500454063228,0.7080190705383735,0.856501168012619,800.0
Twitter15,Bert2Vit,42,0.7675988428158148,0.710704888834342,0.7421243181332867,0.6886731222505288,0.6370084024392642,800.0
Twitter15,Bert2Vit,199,0.7714561234329798,0.7210068200790131,0.7438840044807237,0.7034867876290313,0.8521991148591042,800.0
Twitter15,Bert2Vit,2022,0.7666345226615237,0.7215518930867395,0.7287479333303545,0.7169324176877337,0.586636460515169,800.0
Twitter15,Bert2Vit,11122,0.7791706846673095,0.720303788737873,0.7654097615852965,0.6921374769640264,0.8266679869821438,800.0
Twitter15,Faster22Bert,0,0.772420443587271,0.7205814228231469,0.7574084176167545,0.6956067220623087,0.8144507606442158,800.0
Twitter15,Faster22Bert,42,0.7675988428158148,0.6991458306759201,0.7226595343611394,0.6828092902777726,0.8218776599718974,800.0
Twitter15,Faster22Bert,199,0.7627772420443587,0.709072435075014,0.7399126259293985,0.6873233300589217,0.8472029136923643,800.0
Twitter15,Faster22Bert,2022,0.7666345226615237,0.7163790364067643,0.7379444380768834,0.6997362917493798,0.7904310318713005,800.0
Twitter15,Faster22Bert,11122,0.7589199614271939,0.6986619164994267,0.733365066540724,0.6769775447481322,0.8486330884007307,800.0
Twitter15,Faster2Bert,0,0.7280617164898746,0.6513016234640435,0.6814307791576969,0.6319346173644135,0.9417816224006507,800.0
Twitter15,Faster2Bert,42,0.7174541947926711,0.5832447898810222,0.6639749712242549,0.5653740122591676,0.9576946533643282,800.0
Twitter15,Faster2Bert,199,0.7097396335583414,0.5652390144188106,0.6172380779972638,0.5527739588573921,0.9063597903801844,800.0
Twitter15,Faster2Bert,2022,0.7348119575699132,0.6179632015843952,0.682707096921932,0.5949666964029657,0.809116839674803,800.0
Twitter15,Faster2Bert,11122,0.6509161041465766,0.47938477186928735,0.538271295566087,0.4714348255583651,0.9175230558101948,800.0
Twitter15,FasterBert,0,0.7550626808100289,0.6995408205794312,0.7278030496635148,0.6796358598026943,0.8759259352317224,800.0
Twitter15,FasterBert,42,0.7531340405014465,0.6874037719968814,0.7148056988071052,0.6702730265032334,0.819443739262911,800.0
Twitter15,FasterBert,199,0.759884281581485,0.7087915903952035,0.7220104100670816,0.6977905778106134,0.8277040529136475,800.0
Twitter15,FasterBert,2022,0.7415621986499518,0.6804311854702516,0.6988590632088391,0.6677064176611509,0.9320096066364876,800.0
Twitter15,FasterBert,11122,0.7627772420443587,0.7126197427202192,0.7254673479561315,0.7018387279566479,0.9241351928132084,800.0
Twitter15,FasterBertAtt,0,0.76374156219865,0.7007026751135735,0.7424134855823876,0.6742506569940682,0.7684057154334508,800.0
Twitter15,FasterBertAtt,42,0.7618129218900676,0.7027587251116664,0.7296449849044518,0.6835910773074634,0.8901514212672527,800.0
Twitter15,FasterBertAtt,199,0.7714561234329798,0.7120089090008386,0.7526473270768838,0.6884113410261384,0.6987530050942531,800.0
Twitter15,FasterBertAtt,2022,0.7627772420443587,0.7133886255924171,0.7364215162108341,0.6959213930280987,0.8392864075990824,800.0
Twitter15,FasterBertAtt,11122,0.7444551591128254,0.6752811153777337,0.7361600645132625,0.64355967521161,0.7583873383127726,800.0
Twitter15,FasterBertTFN,0,0.7193828351012537,0.6538996696725402,0.6764665457827235,0.6386045963086241,1.9806671970165692,800.0
Twitter15,FasterBertTFN,42,0.7242044358727098,0.6624664660812811,0.6782176037835947,0.6501172519575759,2.160604346715487,800.0
Twitter15,FasterBertTFN,199,0.7135969141755063,0.6702985160589169,0.6745236197905745,0.66707890004239,2.1346122750869165,800.0
Twitter15,FasterBertTFN,2022,0.7319189971070396,0.6852665263362819,0.7109402804552176,0.667349864152316,1.299139698422872,800.0
Twitter15,FasterBertTFN,11122,0.7155255544840887,0.666342629366073,0.6818199920350457,0.6546088787526593,2.0493745473714977,800.0
Twitter15,FasterRCNN,0,0.5515911282545806,0.4244571198012845,0.43771221870796523,0.41939805004874975,1.2337831203754133,800.0
Twitter15,FasterRCNN,42,0.562198649951784,0.39953283022026315,0.4437379838036238,0.3973014672794702,1.194672348866096,800.0
Twitter15,FasterRCNN,199,0.5564127290260367,0.2748037162975085,0.2910232995738558,0.32791113836644686,1.4753455776434679,800.0
Twitter15,FasterRCNN,2022,0.5486981677917069,0.31861917955273955,0.3636117510386516,0.34545780831258405,1.2923699085529035,800.0
Twitter15,FasterRCNN,11122,0.579556412729026,0.3687259085921148,0.448505318153545,0.38765115907255066,1.2027116463734553,800.0
Twitter15,Res22Bert,0,0.7733847637415622,0.7260032275222809,0.7483646747439221,0.7091641411048629,0.9080894337823757,800.0
Twitter15,Res22Bert,42,0.7772420443587271,0.7272721003480687,0.7443514748283785,0.7134814157176446,0.9001572450193075,800.0
Twitter15,Res22Bert,199,0.7820636451301832,0.7248821253552937,0.7423851947182517,0.7114257524382056,0.8345732271957856,800.0
Twitter15,Res22Bert,2022,0.76374156219865,0.7054470900736831,0.7329645567904581,0.685862975312249,0.9189727365970611,800.0
Twitter15,Res22Bert,11122,0.7695274831243973,0.7195470015963373,0.743909618603908,0.701663762559953,0.8717822494128575,800.0
Twitter15,Res2Bert,0,0.7627772420443587,0.7017254472842779,0.7273240796658086,0.683135474343792,0.7472896243517215,800.0
Twitter15,Res2Bert,42,0.7550626808100289,0.7031198479879247,0.7216137250046679,0.6886251228939132,0.7441235809372022,800.0
Twitter15,Res2Bert,199,0.7647058823529411,0.7017941497579222,0.7411947336818828,0.6764181092573588,0.7060159917634267,800.0
Twitter15,Res2Bert,2022,0.7569913211186113,0.7003759219016281,0.7185857845664643,0.6860379407089443,0.8631281944421622,800.0
Twitter15,Res2Bert,11122,0.7193828351012537,0.581573690030613,0.6911990863648323,0.5600525990777777,0.7229318994742173,800.0
Twitter15,ResBert,0,0.7502410800385728,0.6880602078899479,0.7061579618882989,0.6753253152178763,0.6695998102426529,800.0
Twitter15,ResBert,42,0.7454194792671167,0.6701953109988305,0.7349537029634324,0.6369643857804719,0.6942343599521197,800.0
Twitter15,ResBert,199,0.7560270009643202,0.6992775968174282,0.7198539800060805,0.6834792883236115,0.7771940442231985,800.0
Twitter15,ResBert,2022,0.7569913211186113,0.7041294688353511,0.7161269448343015,0.6950272038001631,0.7940783412983784,800.0
Twitter15,ResBert,11122,0.7560270009643202,0.6739698131027313,0.7344623429985525,0.6426138226710604,0.8020400328704944,800.0
Twitter15,ResBertAtt,0,0.742526518804243,0.6609594914200071,0.7319095550742066,0.6269989007058879,0.6071032998653558,800.0
Twitter15,ResBertAtt,42,0.7579556412729026,0.7135268429457193,0.7294529372768269,0.7011601602396662,0.8339247407821508,800.0
Twitter15,ResBertAtt,199,0.7685631629701061,0.7214442121436769,0.7386343629416836,0.7083167248047567,0.7006306343926834,800.0
Twitter15,ResBertAtt,2022,0.7675988428158148,0.7289407825021287,0.7352224137639642,0.7277556057338673,0.802487957993379,800.0
Twitter15,ResBertAtt,11122,0.7647058823529411,0.7037904659552027,0.7450082389558759,0.6775917096234846,0.7963015380960244,800.0
Twitter15,ResBertTFN,0,0.733847637415622,0.6794584129541305,0.6885106067349058,0.6721336416146051,1.1655758988398772,800.0
Twitter15,ResBertTFN,42,0.7444551591128254,0.68816216723959,0.6976681604892138,0.679903757840655,1.3295134367851111,800.0
Twitter15,ResBertTFN,199,0.7290260366441659,0.6900405597355336,0.6875377148104421,0.6933949343984009,1.2320912608733543,800.0
Twitter15,ResBertTFN,2022,0.7550626808100289,0.6970910114896302,0.7192763159728318,0.68080946016882,1.1989915161178661,800.0
Twitter15,ResBertTFN,11122,0.7473481195756991,0.6914881187557795,0.7078401765491608,0.6814977013428521,1.3371375020593406,800.0
Twitter15,ResNet,0,0.5718418514946962,0.307103825136612,0.3265531712521128,0.34724741319724145,0.9996272816107823,800.0
Twitter15,ResNet,42,0.5949855351976856,0.33847537292325064,0.4442520442520442,0.36986095103021627,1.0330527278093191,800.0
Twitter15,ResNet,199,0.5718418514946962,0.342766504300606,0.3967322333531313,0.36460821786084735,0.9896030187606811,800.0
Twitter15,ResNet,2022,0.5776277724204436,0.3551080539217315,0.35563342025206435,0.3766658524712563,0.965122382915937,800.0
Twitter15,ResNet,11122,0.5660559305689489,0.28253214982052854,0.36013811276180085,0.34356549001709197,1.1815488109221826,800.0
Twitter15,Vit,0,0.579556412729026,0.29495506410235645,0.3321158008658009,0.34561209305387375,0.9123332619667053,800.0
Twitter15,Vit,42,0.5872709739633558,0.2676850316718982,0.3436363636363637,0.33995776577850073,0.912683629989624,800.0
Twitter15,Vit,199,0.6027000964320154,0.3275285593394004,0.3918152250996503,0.36783443076480665,0.9153710988851694,800.0
Twitter15,Vit,2022,0.6027000964320154,0.3318448152207743,0.38496746362506395,0.3698439343308093,0.9017967224121094,800.0
Twitter15,Vit,11122,0.6104146576663452,0.3403322158646939,0.40969634230503793,0.3762466284514523,0.9030362835297218,800.0
Twitter15,Vit22Bert,0,0.7531340405014465,0.6919678346770667,0.7483428275404517,0.6609544059615109,0.6670284704520152,800.0
Twitter15,Vit22Bert,42,0.7695274831243973,0.7170448708710705,0.7590587121167848,0.68966024411973,0.9374191412558922,800.0
Twitter15,Vit22Bert,199,0.7656702025072324,0.7139405317182997,0.7493975058247639,0.6901443768830376,0.8863238050387456,800.0
Twitter15,Vit22Bert,2022,0.772420443587271,0.7249973355905169,0.7356523806436274,0.7160394548885843,0.8373046081799728,800.0
Twitter15,Vit22Bert,11122,0.7743490838958534,0.7355557881237397,0.7555829653043258,0.7198184805678721,0.8682160626237209,800.0
Twitter15,Vit2Bert,0,0.7492767598842816,0.6844259692423201,0.7136496369567505,0.6642262726770323,0.8894043149283299,800.0
Twitter15,Vit2Bert,42,0.7569913211186113,0.7081612525123799,0.723099725644639,0.6963654828915408,0.8276366433271996,800.0
Twitter15,Vit2Bert,199,0.7415621986499518,0.6778806162923212,0.7174500608816737,0.6539734200075085,0.6686843750568536,800.0
Twitter15,Vit2Bert,2022,0.7405978784956606,0.6867675504170405,0.7060284759931248,0.6717898276347856,0.6171752688976434,800.0
Twitter15,Vit2Bert,11122,0.7675988428158148,0.7128477609214863,0.7456757440845568,0.6900690741555718,0.7947459721794495,800.0
Twitter15,VitBert,0,0.76374156219865,0.7048067384331195,0.7306025121684323,0.6859741510817079,0.822612470216476,800.0
Twitter15,VitBert,42,0.7512054001928641,0.7026176662386661,0.7278265405309138,0.6839166481590898,0.6205246425591983,800.0
Twitter15,VitBert,199,0.7608486017357763,0.7008721653160167,0.7194655916820866,0.6863362081897204,0.6858502596616745,800.0
Twitter15,VitBert,2022,0.7569913211186113,0.6822637626545544,0.738907770366294,0.6523169133068611,0.7555330765935091,800.0
Twitter15,VitBert,11122,0.7782063645130183,0.72771518448045,0.7547781853524681,0.7077220294863835,0.6833261033663383,800.0
Twitter15,VitBertAtt,0,0.7444551591128254,0.6799923888637519,0.7098697228440191,0.6594710250143795,0.9253034458710597,800.0
Twitter15,VitBertAtt,42,0.7473481195756991,0.6791316286203668,0.7210661325462083,0.6534139845167352,0.80513796714636,800.0
Twitter15,VitBertAtt,199,0.7540983606557377,0.6988569334851708,0.7274247666981232,0.6784731593224048,0.8407300280836912,800.0
Twitter15,VitBertAtt,2022,0.7540983606557377,0.6965659142786688,0.7181235441730903,0.6803714871189488,0.8826801417825314,800.0
Twitter15,VitBertAtt,11122,0.7540983606557377,0.6923851559035784,0.7139120257733763,0.676183631403819,0.7612615665564171,800.0
Twitter15,VitBertTFN,0,0.7261330761812922,0.649230733645323,0.6770589668615985,0.6307251439562945,1.0117787465453147,800.0
Twitter15,VitBertTFN,42,0.7348119575699132,0.6764824333155811,0.7137281973861844,0.6522500576076596,1.0399855756988892,800.0
Twitter15,VitBertTFN,199,0.7280617164898746,0.6726794174744577,0.686508625084764,0.6615254618650325,1.0510667418058102,800.0
Twitter15,VitBertTFN,2022,0.7348119575699132,0.6806166584360565,0.7019089701928746,0.6645871033562588,1.0118142424867704,800.0
Twitter15,VitBertTFN,11122,0.7483124397299904,0.6938026558444236,0.7089513890756126,0.6814868014570158,0.9455034996454532,800.0
Twitter17,Bert,0,0.686385737439222,0.6601527878672301,0.6803251232621825,0.648733772861615,0.7811164393638953,896.0
Twitter17,Bert,42,0.6790923824959482,0.6609546430491378,0.6836086373823865,0.6457093820256633,1.0979452933638523,896.0
Twitter17,Bert,199,0.6823338735818476,0.653218234573892,0.6780980609297983,0.6379499564163392,1.0148557371053941,896.0
Twitter17,Bert,2022,0.6742301458670988,0.6524451545474597,0.6610521455175608,0.6563916774509045,0.7236605378297659,896.0
Twitter17,Bert,11122,0.679902755267423,0.6560895581584051,0.6615215154007147,0.6516310833173614,0.7832032228127505,896.0
