dataset,model,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_std,f1_min,f1_max,prec_mean,rec_mean,best_seed_acc,best_seed_f1
Twitter15,Bert,0.7672,0.0129,0.7464,0.7801,0.7119,0.0245,0.6727,0.7330,0.7403,0.6950,42(0.7801),42(0.7330)
Twitter15,Bert2Faster,0.7736,0.0042,0.7676,0.7782,0.7169,0.0041,0.7104,0.7211,0.7482,0.6958,11122(0.7782),11122(0.7211)
Twitter15,Bert2Res,0.7713,0.0149,0.7560,0.7907,0.7148,0.0212,0.6964,0.7479,0.7492,0.6922,199(0.7907),199(0.7479)
Twitter15,Bert2Vit,0.7711,0.0049,0.7666,0.7792,0.7191,0.0047,0.7107,0.7218,0.7439,0.7018,11122(0.7792),0(0.7218)
Twitter15,Faster22Bert,0.7657,0.0051,0.7589,0.7724,0.7088,0.0099,0.6987,0.7206,0.7383,0.6885,0(0.7724),0(0.7206)
Twitter15,Faster2Bert,0.7082,0.0334,0.6509,0.7348,0.5794,0.0650,0.4794,0.6513,0.6367,0.5633,2022(0.7348),0(0.6513)
Twitter15,FasterBert,0.7545,0.0082,0.7416,0.7628,0.6978,0.0137,0.6804,0.7126,0.7178,0.6834,11122(0.7628),11122(0.7126)
Twitter15,FasterBertAtt,0.7608,0.0099,0.7445,0.7715,0.7008,0.0153,0.6753,0.7134,0.7395,0.6771,199(0.7715),2022(0.7134)
Twitter15,FasterBertTFN,0.7209,0.0074,0.7136,0.7319,0.6677,0.0116,0.6539,0.6853,0.6844,0.6556,2022(0.7319),2022(0.6853)
Twitter15,FasterRCNN,0.5597,0.0122,0.5487,0.5796,0.3572,0.0607,0.2748,0.4245,0.3969,0.3755,11122(0.5796),0(0.4245)
Twitter15,Res22Bert,0.7732,0.0070,0.7637,0.7821,0.7206,0.0090,0.7054,0.7273,0.7424,0.7043,199(0.7821),42(0.7273)
Twitter15,Res2Bert,0.7518,0.0185,0.7194,0.7647,0.6777,0.0538,0.5816,0.7031,0.7200,0.6589,199(0.7647),42(0.7031)
Twitter15,ResBert,0.7529,0.0050,0.7454,0.7570,0.6871,0.0150,0.6702,0.7041,0.7223,0.6667,2022(0.7570),2022(0.7041)
Twitter15,ResBertAtt,0.7603,0.0108,0.7425,0.7686,0.7057,0.0267,0.6610,0.7289,0.7360,0.6884,199(0.7686),2022(0.7289)
Twitter15,ResBertTFN,0.7419,0.0105,0.7290,0.7551,0.6892,0.0064,0.6795,0.6971,0.7002,0.6815,2022(0.7551),2022(0.6971)
Twitter15,ResNet,0.5765,0.0111,0.5661,0.5950,0.3252,0.0297,0.2825,0.3551,0.3767,0.3604,42(0.5950),2022(0.3551)
Twitter15,Vit,0.5965,0.0127,0.5796,0.6104,0.3125,0.0304,0.2677,0.3403,0.3724,0.3599,11122(0.6104),11122(0.3403)
Twitter15,Vit22Bert,0.7670,0.0084,0.7531,0.7743,0.7167,0.0162,0.6920,0.7356,0.7496,0.6953,11122(0.7743),11122(0.7356)
Twitter15,Vit2Bert,0.7512,0.0113,0.7406,0.7676,0.6940,0.0155,0.6779,0.7128,0.7212,0.6753,11122(0.7676),11122(0.7128)
Twitter15,VitBert,0.7622,0.0101,0.7512,0.7782,0.7037,0.0162,0.6823,0.7277,0.7343,0.6833,11122(0.7782),11122(0.7277)
Twitter15,VitBertAtt,0.7508,0.0046,0.7445,0.7541,0.6894,0.0093,0.6791,0.6989,0.7181,0.6696,199(0.7541),199(0.6989)
Twitter15,VitBertTFN,0.7344,0.0087,0.7261,0.7483,0.6746,0.0162,0.6492,0.6938,0.6976,0.6581,11122(0.7483),11122(0.6938)
Twitter17,Bert,0.6804,0.0045,0.6742,0.6864,0.6566,0.0039,0.6524,0.6610,0.6729,0.6481,0(0.6864),42(0.6610)
Twitter17,Bert2Faster,0.6843,0.0072,0.6750,0.6945,0.6644,0.0123,0.6507,0.6839,0.6766,0.6566,11122(0.6945),11122(0.6839)
Twitter17,Bert2Res,0.6937,0.0041,0.6896,0.6994,0.6685,0.0088,0.6584,0.6799,0.6868,0.6591,11122(0.6994),11122(0.6799)
Twitter17,Bert2Vit,0.6914,0.0058,0.6840,0.6994,0.6696,0.0076,0.6605,0.6785,0.6826,0.6600,11122(0.6994),11122(0.6785)
Twitter17,Faster22Bert,0.6951,0.0069,0.6880,0.7058,0.6750,0.0042,0.6690,0.6795,0.6862,0.6674,11122(0.7058),11122(0.6795)
Twitter17,Faster2Bert,0.6031,0.0718,0.4838,0.6605,0.5451,0.0790,0.4138,0.6106,0.5906,0.5333,2022(0.6605),2022(0.6106)
Twitter17,FasterBert,0.6760,0.0128,0.6645,0.6953,0.6474,0.0190,0.6281,0.6723,0.6616,0.6375,2022(0.6953),2022(0.6723)
