dataset,model,seed,accuracy,f1,precision,recall
Twitter15,Bert,0,0.7618129218900676,0.714686052467162,0.7451149329564363,0.6936427649953494
Twitter15,Bert,42,0.7656702025072324,0.7192621610425101,0.724508240297714,0.7145961168413186
Twitter15,Bert,199,0.7714561234329798,0.7101003369362768,0.7364568508698466,0.6912609176498908
Twitter15,Bert,2022,0.7531340405014465,0.6545808597357646,0.7889037045155188,0.6116555560650344
Twitter15,Bert,11122,0.7666345226615237,0.7227426406252914,0.7326316111381638,0.7141405138776472
Twitter15,Res2Bert,0,0.609450337512054,0.38380607753228646,0.3916630793514135,0.40232340188165755
Twitter15,ResBert,0,0.7647058823529411,0.7090529526867678,0.7186919244816844,0.7010386977987643
Twitter15,ResBert,42,0.7608486017357763,0.7193427399877658,0.7270783226930275,0.712352748636169
Twitter15,ResBert,199,0.7714561234329798,0.7184675458914351,0.7374202193114385,0.7034867876290313
Twitter15,ResBert,2022,0.7647058823529411,0.711448358241006,0.726036049735066,0.7008163462598467
Twitter15,ResBert,11122,0.7434908389585342,0.6555160071535349,0.7323092835314285,0.6216307145966687
Twitter15,ResBertTFN,0,0.7309546769527483,0.6696284320442811,0.6824228050203089,0.6590962283773515
Twitter15,ResBertTFN,42,0.7357762777242044,0.6530645227019095,0.7063623245441427,0.6251643625365803
Twitter15,ResBertTFN,199,0.7492767598842816,0.6966238633130529,0.7120173279225627,0.688290982371144
Twitter15,ResBertTFN,2022,0.7396335583413693,0.6745891764161788,0.7026046311734978,0.655329329012686
Twitter15,ResBertTFN,11122,0.733847637415622,0.6544027834006346,0.6923054409772039,0.6314905275009716
Twitter15,ResNet,0,0.5670202507232401,0.3135511586478898,0.3238610515370118,0.3485206762325966
Twitter15,ResNet,42,0.5911282545805208,0.3552747553539836,0.478864420168391,0.37821424947441007
Twitter15,ResNet,199,0.5573770491803278,0.3564445679977311,0.37691954270567257,0.3704375105329154
Twitter15,ResNet,2022,0.5785920925747348,0.3534260938841091,0.3556080508727346,0.3757078736160844
Twitter15,ResNet,11122,0.5650916104146577,0.28636349636646174,0.3620714108428181,0.34262514107572
