dataset,model,acc_mean,acc_std,f1_mean,f1_std,n_seeds
Twitter15,Bert,0.7618,0.0000,0.7147,0.0000,1
Twitter15,Bert2Res,0.7763,0.0000,0.7219,0.0000,1
Twitter15,Bert2Vit,0.7628,0.0000,0.7200,0.0000,1
Twitter15,Res22Bert,0.7647,0.0000,0.7052,0.0000,1
Twitter15,Res2Bert,0.6095,0.0000,0.3838,0.0000,1
Twitter15,ResBert,0.7647,0.0000,0.7091,0.0000,1
Twitter15,ResBertAtt,0.7695,0.0000,0.7189,0.0000,1
Twitter15,ResBertTFN,0.7310,0.0000,0.6696,0.0000,1
Twitter15,ResNet,0.5670,0.0000,0.3136,0.0000,1
Twitter15,Vit,0.5574,0.0000,0.3378,0.0000,1
Twitter15,Vit22Bert,0.7647,0.0000,0.7179,0.0000,1
Twitter15,Vit2Bert,0.7483,0.0000,0.6823,0.0000,1
Twitter15,VitBert,0.7618,0.0000,0.6885,0.0000,1
Twitter15,VitBertAtt,0.7522,0.0000,0.6922,0.0000,1
Twitter15,VitBertTFN,0.7406,0.0000,0.6870,0.0000,1
Twitter17,Bert,0.6677,0.0000,0.6391,0.0000,1
Twitter17,Bert2Res,0.6807,0.0000,0.6716,0.0000,1
Twitter17,Bert2Vit,0.6945,0.0000,0.6712,0.0000,1
Twitter17,Res22Bert,0.6726,0.0000,0.6291,0.0000,1
Twitter17,Res2Bert,0.6864,0.0000,0.6723,0.0000,1
Twitter17,ResBert,0.6702,0.0000,0.6491,0.0000,1
Twitter17,ResBertAtt,0.6831,0.0000,0.6625,0.0000,1
Twitter17,ResBertTFN,0.6596,0.0000,0.6319,0.0000,1
Twitter17,ResNet,0.5851,0.0000,0.5125,0.0000,1
Twitter17,Vit,0.5843,0.0000,0.5397,0.0000,1
Twitter17,Vit22Bert,0.6896,0.0000,0.6711,0.0000,1
Twitter17,Vit2Bert,0.6621,0.0000,0.6424,0.0000,1
Twitter17,VitBert,0.6726,0.0000,0.6613,0.0000,1
Twitter17,VitBertAtt,0.6929,0.0000,0.6716,0.0000,1
Twitter17,VitBertTFN,0.6645,0.0000,0.6326,0.0000,1
